SurveyID,kV,HVL_meas,HVL_met1,HVL_met2,HVL_met3,HVL_met4,HVL_met5
1330,80,2.820156064,2.5896317959,2.588684082,2.5871880054,2.5993196964,2.592069149
1455,80,2.9547694501,2.1314547062,2.1228845119,2.1240365505,2.1227314472,2.1253449917
1432,80,3.5983507865,3.5872793198,3.5787191391,3.5762262344,3.5796351433,3.5822410583
1398,80,3.0025486829,2.7816033363,2.7886857986,2.7798645496,2.7836265564,2.7954542637
1339,80,3.0931807601,2.9767591953,2.9703626633,2.9807403088,2.9785628319,2.9803049564
1446,80,3.0978821695,2.1434988976,2.1459627151,2.1432511806,2.1436789036,2.1444201469
1344,80,3.1398795598,3.0297644138,3.0285093784,3.017480135,3.0146756172,3.0227303505
1345,80,3.1392895751,2.9300692081,2.9280691147,2.9388391972,2.94211936,2.9298584461
1340,80,3.4766437518,3.4178733826,3.4311077595,3.4157543182,3.423317194,3.4071648121
1342,80,3.1330558782,2.8398025036,2.8278372288,2.8299031258,2.8395645618,2.8368446827
1343,80,3.0453844213,2.969078064,2.9735178947,2.9676401615,2.9758877754,2.9809575081
1335,80,3.0854358158,2.944756031,2.9427592754,2.9349946976,2.9465806484,2.9377627373
1428,80,3.1162506018,2.1336255074,2.1340136528,2.1351194382,2.1342759132,2.1352124214
1429,80,3.2931139747,2.1253352165,2.1259078979,2.125929594,2.1260015965,2.1252112389
1361,80,2.9406071732,2.8885576725,2.8657882214,2.8884296417,2.8888378143,2.8891322613
1362,80,2.8561662261,2.8631510735,2.8723523617,2.8732039928,2.8661711216,2.8694732189
1360,80,2.923974786,2.8326766491,2.836823225,2.8484408855,2.8390421867,2.8416321278
1404,80,2.9393715615,2.8685803413,2.8819513321,2.8739089966,2.872477293,2.8662593365
1403,80,3.055777042,2.8171224594,2.8125553131,2.8185482025,2.8113307953,2.8106060028
1402,80,2.8237557258,2.0584983826,2.0579562187,2.0611457825,2.0606415272,2.0598986149
1332,80,3.0463103345,2.838675499,2.841217041,2.8460078239,2.8447217941,2.8336465359
1331,80,2.8990147121,2.6634428501,2.6672730446,2.6529242992,2.6586399078,2.6570653915
1304,80,2.8265919032,2.9621977806,2.9614787102,2.9553289413,2.9692111015,2.9643104076
1305,80,3.1163202324,3.2302732468,3.2241826057,3.2228112221,3.2429182529,3.2272281647
1460,80,3.1351797621,2.1426303387,2.141490221,2.1413915157,2.1373984814,2.1407122612
1461,80,3.0799454503,2.1597568989,2.1599998474,2.1620774269,2.1616408825,2.1588973999
1447,80,3.1670910361,2.1570711136,2.1556138992,2.1536347866,2.160702467,2.1560726166
1393,80,2.8749349741,2.9083273411,2.904497385,2.8996844292,2.8989918232,2.9090044498
1389,80,3.4901890116,3.3650875092,3.3794207573,3.383245945,3.37185359,3.3625557423
1531,60,2.2235941037,2.1754136086,2.1748645306,,,
1531,80,2.9963888223,2.9242477417,2.911055088,2.9176149368,2.9039106369,2.9133791924
1531,100,3.6808595626,3.5125865936,3.5259010792,,,
1531,120,4.4492108651,4.4412689209,4.4421248436,,,
1530,60,2.1940305963,2.1449551582,2.1485760212,,,
1530,80,2.9681671204,2.8635070324,2.8688161373,2.8783650398,2.8578770161,2.8662858009
1530,100,3.632981535,3.4550132751,3.4723439217,,,
1530,120,4.4071765786,4.3646125793,4.3552975655,,,
1532,60,2.2085063809,2.1292860508,2.1446423531,,,
1532,80,2.9568972852,2.8684005737,2.8767995834,2.8722493649,2.8737668991,2.8684258461
1532,100,3.6506543602,3.4984910488,3.4904417992,,,
1532,120,4.3991458917,4.4087605476,4.4064702988,,,
1548,60,2.3005500403,2.2400596142,2.2366895676,,,
1548,80,2.9895603927,2.8987483978,2.9092395306,2.9210920334,2.9023871422,2.9323678017
1548,100,3.7212983228,3.6194946766,3.6299951077,,,
1548,120,4.5140353859,4.5295238495,4.5329785347,,,
1547,60,2.2409860361,2.2035064697,2.2037220001,,,
1547,80,2.9479542561,2.8610816002,2.8690361977,2.8595581055,2.864459753,2.8676753044
1547,100,3.6709256132,3.6695597172,3.4846966267,,,
1547,120,4.4152729327,4.3886842728,4.3868203163,,,
1546,60,2.186340118,2.1103818417,2.1472158432,,,
1546,80,2.831481412,2.7215442657,2.7228209972,2.7265870571,2.7278814316,2.7171001434
1546,100,3.5347498794,3.3516802788,3.3649082184,,,
1546,120,4.237630969,4.1912117004,4.1834511757,,,
1491,60,2.1282540335,2.1029989719,2.0801255703,,,
1491,80,2.8046236295,2.7273650169,2.7388665676,2.7215259075,2.7370352745,2.7362599373
1491,120,4.1908293502,4.1920361519,4.1915111542,,,
1634,60,2.1137123246,2.1253926754,2.145639658,,,
1634,80,2.8337395433,2.8190762997,2.8102152348,2.8336994648,2.8224084377,2.8238427639
1634,100,3.6214535316,3.4434814453,3.4559218884,,,
1634,120,4.3227192961,4.2268943787,4.2255721092,,,
1604,60,2.6949352585,2.699757576,2.7173621655,,,
1604,80,3.6158025401,3.5635700226,3.5638737679,3.5744943619,3.5798606873,3.5764176846
1604,100,4.5148068919,4.5199317932,4.5273633003,,,
1604,120,5.3967293853,5.412815094,5.4038014412,,,
1573,60,2.1285973253,2.0678877831,2.0901954174,,,
1573,80,2.869265291,2.8020870686,2.8016636372,2.800055027,2.7909972668,2.7998316288
1573,100,3.6562775547,3.4941399097,3.4737050533,,,
1573,120,4.3270622366,4.3002352715,4.3067502975,,,
1494,60,2.2451485246,2.2302165031,2.225250721,,,
1494,80,3.0155297472,3.0090174675,3.0154080391,3.0051965714,3.007818222,3.0056228638
1494,120,4.4579267303,4.5645318031,4.5567088127,,,
1620,60,2.1940254069,2.2125685215,2.2069671154,,,
1620,80,3.0142184627,2.9534413815,2.9441552162,2.938246727,2.9478590488,2.9422245026
1620,100,3.6531754849,3.4861884117,3.4919819832,,,
1620,120,4.4825926702,4.3817877769,4.3951921463,,,
1555,60,2.3418393054,2.3114426136,2.3108062744,,,
1555,80,3.151512804,3.0500147343,3.0544629097,3.0509192944,3.0512824059,3.060059309
1555,120,4.7508556337,4.7361745834,4.7382459641,,,
1520,60,2.3546087197,2.3172667027,2.2949419022,,,
1520,80,3.1821944854,3.0773220062,3.0750844479,3.0785562992,3.0783600807,3.0802061558
1520,120,4.677075871,4.66106987,4.6646723747,,,
1504,60,2.6024899017,2.5526895523,2.5441966057,,,
1504,80,3.4571563445,3.4019105434,3.4178791046,3.4347190857,3.4019687176,3.3996124268
1504,120,5.4204275294,5.4318151474,5.4377918243,,,
1519,60,2.3295953439,2.3558218479,2.2572488785,,,
1519,80,3.1080646689,2.9824502468,2.9916381836,3.0034666061,2.9982266426,2.9988157749
1519,120,4.6353206143,4.6383600235,4.6317286491,,,
1536,60,2.2769880986,2.2217726707,2.2219724655,,,
1536,80,3.0507120948,3.0103843212,3.0146405697,3.0129768848,3.0054726601,3.0141541958
1536,100,3.7317242354,3.6619648933,3.6495771408,,,
1536,120,4.4925280377,4.5669875145,4.5750045776,,,
1527,60,2.3258402003,2.2892596722,2.2784414291,,,
1527,80,3.1053558903,2.9800770283,2.9801990986,2.9772176743,2.9801626205,2.9689605236
1527,100,3.9484384772,3.8384745121,3.8332049847,,,
1527,120,4.7465100149,4.7982115746,4.7853364944,,,
1506,60,2.4370849539,1.5805044174,1.5827897787,,,
1506,80,3.2311870459,3.0635097027,3.0592021942,3.0597968102,3.0604031086,3.0618104935
1506,120,4.5714544758,4.8409972191,4.8351716995,,,
1607,60,2.3222391242,2.2769491673,2.2645311356,,,
1607,80,3.1283215556,3.0332691669,3.0302586555,3.0371246338,3.0330429077,3.0364487171
1607,100,3.96679091,3.7296397686,3.726736784,,,
1607,120,4.8223674447,4.6231842041,4.6113929749,,,
1606,60,2.2440781336,2.2585756779,2.2410504818,,,
1606,80,3.059172911,3.0508320332,3.0631275177,3.0424597263,3.0343363285,3.0479388237
1606,100,3.8977427838,3.7029511929,3.6911056042,,,
1606,120,4.7612370901,4.5870141983,4.5832204819,,,
1479,80,3.1766751638,2.3582310677,2.3592514992,2.3581852913,2.3591623306,2.3580031395
1490,60,2.2993620374,2.2636318207,2.2442290783,,,
1490,80,2.9993209133,2.8631384373,2.8667504787,2.8861074448,2.8827326298,2.8811063766
1484,80,3.0544281704,3.2164134979,3.2216410637,3.2198431492,3.2221121788,3.218752861
1505,60,2.295360697,2.2761874199,2.2255785465,,,
1505,80,2.9828123591,2.8788700104,2.8703262806,2.8765184879,2.8861606121,2.8848171234
1505,120,4.4031056132,4.4366183281,4.4427032471,,,
1495,60,2.1625442161,2.13408494,2.1295781136,,,
1495,80,2.8419891313,2.7739667892,2.7683939934,2.7732536793,2.7811107635,2.7722911835
1495,120,4.0929072816,4.0332069397,4.033601284,,,
1475,80,3.0325064728,2.3538150787,2.3495693207,2.3505952358,2.3550181389,2.3535809517
1489,60,2.1601638982,2.1519608498,2.1525537968,,,
1489,80,2.7537413721,2.8709764481,2.8593680859,2.8582026958,2.8607976437,2.8604209423
1489,120,3.8509267554,4.4149217606,4.4097766876,,,
1478,80,2.9177058591,2.3092153072,2.3107261658,2.3077347279,2.3074698448,2.3096251488
1483,80,3.0196072992,2.3193778992,2.3198692799,2.3161551952,2.3181972504,2.3194682598
1488,60,2.2206686499,2.2422516346,2.3474078178,,,
1488,80,2.9649463081,3.1113240719,3.1152703762,3.1267008781,3.1125566959,3.1092355251
1488,120,4.4351718743,4.7174496651,4.7258501053,,,
1476,80,2.8039541323,2.2852256298,2.2849209309,2.2855172157,2.2859227657,2.2862038612
1480,80,3.2589006472,2.3643493652,2.3678209782,2.3749628067,2.3643198013,2.3719558716
1481,80,3.005190557,2.4044065475,2.4029314518,2.4008972645,2.4018502235,2.4057483673
1637,60,2.2670214772,2.2683544159,2.2992155552,,,
1637,80,3.0986267103,3.0767998695,3.0635640621,3.0860929489,3.0706663132,3.0766353607
1637,100,3.8610346366,3.7000598907,3.6677541733,,,
1637,120,4.7531742099,4.6137404442,4.6072840691,,,
1638,60,2.1651925476,2.2096393108,2.2213442326,,,
1638,80,3.0275507761,2.9649882317,2.9694561958,2.9586253166,2.9687912464,2.9597039223
1638,100,3.6694275098,3.5279061794,3.5248451233,,,
1638,120,4.5469797804,4.43638134,4.4380302429,,,
1487,80,3.1876471391,3.1351685524,3.1278436184,3.1428453922,3.1299338341,3.1326677799
1486,80,3.1304733398,2.9920146465,2.9911468029,2.9840958118,2.9929494858,2.9776740074
1485,80,3.4813994162,2.1508843899,2.1514554024,2.1521885395,2.1528501511,2.1494195461
1621,60,2.2375565805,2.2712063789,2.2598454952,,,
1621,80,3.0870867382,3.0966053009,3.0908739567,3.091657877,3.1048822403,3.087043047
1621,100,3.8240844086,3.7142162323,3.6980111599,,,
1621,120,4.6865368314,4.6171703339,4.6171174049,,,
1560,60,2.2233952509,2.166036129,2.1683359146,,,
1560,80,2.9254700114,2.8681960106,2.8695321083,2.8772823811,2.8689305782,2.8811700344
1560,100,3.6196562889,3.4972333908,3.5128281116,,,
1560,120,4.3519556669,4.3682432175,4.3877139091,,,
1564,60,2.6189954653,2.5551686287,2.5707614422,,,
1564,80,3.4644873882,3.3797075748,3.3811237812,3.3750793934,3.3744645119,3.3671879768
1564,100,4.3366127199,4.2573723793,4.2403507233,,,
1564,120,5.2361935393,5.2125530243,5.2082133293,,,
1695,60,2.225963835,2.1446075439,2.15493083,,,
1695,80,2.9543474389,2.8841297626,2.8814716339,2.882799387,2.878200531,2.8878996372
1695,100,3.6280660784,3.5257368088,3.5262229443,,,
1695,120,4.4195874434,4.3938751221,4.4067425728,,,
1696,60,2.1802061928,2.0938022137,2.0931596756,,,
1696,80,2.9081403799,2.8401720524,2.838354826,2.8342182636,2.8344612122,2.8428375721
1696,100,3.5906144872,3.582777977,3.4609150887,,,
1696,120,4.35041127,4.3034915924,4.3027262688,,,
1697,60,2.221096663,2.0788969994,2.0697631836,,,
1697,80,2.9877937805,2.8006458282,2.8124442101,2.8113358021,2.8104856014,2.8133013248
1697,100,3.6850169502,3.4031946659,3.3980119228,,,
1697,120,4.4586825538,4.26852,4.269804,,,
1720,60,2.2804014794,2.213881731,2.2123482227,,,
1720,80,3.0237975554,2.8752114773,2.8857448101,2.8770856857,2.8727660179,2.8767504692
1720,100,3.7234793863,3.6144902706,3.6038174629,,,
1720,120,4.4312707328,4.4461202621,4.4596371651,,,
1721,60,2.2696466057,2.1602864265,2.1453750134,,,
1721,80,2.9772440866,2.7984051704,2.8059062958,2.8023972511,2.7890381813,2.8014593124
1721,100,3.6869446917,3.5183606148,3.5139205456,,,
1721,120,4.3683140216,4.3484897614,4.3529167175,,,
1722,60,2.1884451968,2.0934071541,2.1061401367,,,
1722,80,2.8560349671,2.704105854,2.6737475395,2.6669089794,2.6820781231,2.6767833233
1722,100,3.5644984557,3.3012266159,3.3230037689,,,
1722,120,4.2907443565,4.140337944,4.149034977,,,
1818,60,2.1898084246,2.13,2.13,,,
1818,80,2.9319539407,2.82,2.82,2.82,2.82,2.81
1818,100,3.7057819146,3.51,3.5,,,
1818,120,4.3937625854,4.29,4.29,,,
1742,60,2.1634377451,2.1100931168,2.1041431427,,,
1742,80,2.9284018619,2.8571739197,2.8417141438,2.8336777687,2.8516135216,2.8315453529
1742,100,3.6577951887,3.5388441086,3.5509748459,,,
1742,120,4.2949566244,4.368909359,4.3642692566,,,
1806,60,2.2210903742,2.11,2.12,,,
1806,80,2.9728422822,2.87,2.86,2.86,2.86,2.86
1806,100,3.6764391922,3.51,3.49,,,
1806,120,4.4486892129,4.39,4.39,,,
1724,60,2.370365027,2.2630822659,2.2749512196,,,
1724,80,3.1430861096,3.0207619667,3.0212049484,3.01694417,3.0155384541,3.015437603
1724,100,3.9347475707,3.7764165401,3.7766089439,,,
1724,120,4.6814718808,4.6659221649,4.6810736656,,,
1686,60,2.3452228922,2.2407720089,2.2394804955,,,
1686,80,3.1253421512,3.0570468903,3.0559549332,3.0563058853,3.0513854027,3.0371210575
1686,100,3.8410732191,3.7169995308,3.7249279022,,,
1686,120,4.6148873746,4.6279363632,4.623465538,,,
1685,60,2.3206764004,2.1916689873,2.1928119659,,,
1685,80,3.1062971395,2.9552614689,2.9485454559,2.9599149227,2.951546669,2.9580407143
1685,100,3.8891982789,3.6792764664,3.6740717888,,,
1685,120,4.6598468263,4.5620574951,4.573674202,,,
1692,60,2.3161606163,2.1743965149,2.1457133293,,,
1692,80,3.1378466411,2.947353363,2.9504206181,2.9498124123,2.9581811428,2.955080986
1692,100,3.9622634238,3.7965378761,3.7971298695,,,
1692,120,4.7348363227,4.7648696899,4.7521777153,,,
1650,60,2.3994501259,2.4574258327,2.4484899044,,,
1650,80,3.1625538185,3.1811096668,3.1805124283,3.1891970634,3.181194067,3.1974465847
1650,100,3.9856948207,3.8565518856,3.8627758026,,,
1650,120,4.8774000286,4.7680168152,4.7658829689,,,
1654,60,2.2683670015,2.2411379814,2.2746071815,,,
1654,80,2.9988750401,2.8778755665,2.8739728928,2.8819305897,2.8841590881,2.8982672691
1654,100,3.7057990706,3.4486749172,3.4467122555,,,
1655,60,2.2750042926,2.2694954872,2.2925653458,,,
1655,80,3.0282541301,2.9253501892,2.9286673069,2.9285657406,2.939012289,2.9298784733
1655,100,3.742621226,3.4679176807,3.4711887836,,,
1796,60,2.5444040237,2.49,2.48,,,
1796,80,3.3777140391,3.25,3.25,3.25,3.26,3.25
1796,100,4.1169206882,4.04,4.04,,,
1796,120,4.9738799143,4.98,4.98,,,
1979,60,2.53986075,2.54,2.52,,,
1979,80,3.3701199728,3.29,3.29,3.3,3.28,3.28
1979,100,3.9703361406,4.16,4.16,,,
1979,120,4.9736252272,5.09,5.08,,,
1680,60,2.1864391676,2.1508755684,2.1152188778,,,
1680,80,2.8997603767,2.8010852337,2.7934336662,2.795191288,2.7913093567,2.792361021
1680,100,3.6559520669,3.4553601742,3.4675889015,,,
1680,120,4.5352172215,4.3604040146,4.3565716743,,,
1653,60,2.2233339991,2.2548832893,2.257142067,,,
1653,80,2.9770346255,2.9351582527,2.924696207,2.9313988686,2.9230086803,2.9258468151
1653,100,3.7753200188,3.5285298824,3.5478408337,,,
1653,120,4.6017727441,4.540248394,4.5335946083,,,
1643,60,2.1827721106,2.2182915211,2.1851766109,,,
1643,80,2.9185938157,2.9122827053,2.9213116169,2.912967205,2.9217040539,2.9188811779
1643,100,3.6758547585,3.524096489,3.5207383633,,,
1643,120,4.4693450508,4.4250092506,4.4373550415,,,
1652,60,2.2916749121,2.3116204739,2.3111138344,,,
1652,80,3.0484285579,3.0715112686,3.0547370911,3.0687835217,3.0688114166,3.0573601723
1652,100,3.8619325,3.7039728165,3.6918179989,,,
1652,120,4.5934965906,4.5592269897,4.5527071953,,,
1644,60,2.1938829771,2.268730402,2.2553687096,,,
1644,80,3.0431987671,3.0547554493,3.0537109375,3.0457346439,3.049759388,3.0455656052
1644,100,3.9093064813,3.8038387299,3.7987406254,,,
1644,120,4.6459020621,4.695379734,4.6870546341,,,
1645,60,2.142637359,2.1853661537,2.1691513062,,,
1645,80,2.9332129055,2.9517221451,2.9511561394,2.9506151676,2.9532620907,2.9552624226
1645,100,3.6667331635,3.7638404369,3.5835046768,,,
1645,120,4.3365539871,4.4260568619,4.420589447,,,
1646,60,2.3824357742,2.4139404297,2.4215321541,,,
1646,80,3.2489332849,3.2929503918,3.2938957214,3.3030524254,3.30316329,3.3073153496
1646,100,4.1465841654,4.0584888458,4.067861557,,,
1646,120,4.9370853762,4.9989385605,4.9977674484,,,
1651,60,2.1530921395,2.1164865494,2.1148774624,,,
1651,80,2.8867744874,2.8086922169,2.8122527599,2.8134553432,2.8067169189,2.8144440651
1651,100,3.5958448244,3.4340786934,3.4300303459,,,
1651,120,4.3902645995,4.3404374123,4.3479189873,,,
1829,60,2.340843792,2.2536683083,2.2648012638,,,
1829,80,3.1638641135,3.0864977837,3.0794126987,3.0814623833,3.081063509,3.0862584114
1829,100,3.8282635204,3.777405262,3.7825100422,,,
1829,120,4.6819027759,4.7097773552,4.7052416801,,,
1821,60,2.2831268581,2.1596548557,2.1688909531,,,
1821,80,3.0619891084,2.9209609032,2.9227433205,2.9130721092,2.9154734612,2.9088344574
