SurveyID,60kV,80kV,100kV,120kV,Slope,Intercept,R2
1669,2.1043943558,2.8170448457,3.5603739388,4.3527883909,0.037442556,-0.1611796564,0.9994270133
1664,2.4745320525,3.6170007687,4.635420315,5.3747968958,0.0485960704,-0.3482088262,0.9912230507
1674,2.6124342225,3.591603796,4.5196618245,5.4655027956,0.0474363187,-0.2219680268,0.9998855743
1668,2.3625188584,3.2058027497,3.9991891949,4.8961983668,0.0419721249,-0.1615639443,0.9994610196
1675,2.3573095737,3.2407241617,4.0024763958,4.95979441,0.0428460337,-0.216066899,0.9982606908
1661,2.3880116146,3.0346443593,4.0043554458,4.8466145565,0.0417275996,-0.1870774665,0.9943701525
1660,2.3198260967,3.1608611713,3.9310142856,4.8023022194,0.0410879074,-0.1444107238,0.9994943083
1659,2.6151018199,3.5210678939,4.5421463415,5.4321473444,0.0473610751,-0.2348809096,0.9993107532
1650,2.3994501259,3.1625538185,3.9856948207,4.8774000286,0.0412849536,-0.1093711212,0.9987875233
1654,2.2683670015,2.9988750401,3.7057990706,,0.0359358017,0.1161495658,0.9999102777
1663,2.1071808123,2.7799863583,3.4759291032,4.268652942,0.0359017957,-0.0732243064,0.998502458
1649,2.3709839552,3.1183235468,3.9027260384,4.6942067571,0.0387703545,0.0322281705,0.9998230472
1655,2.2750042926,3.0282541301,3.742621226,,0.0366904233,0.0800593496,0.999766081
1653,2.2233339991,2.9770346255,3.7753200188,4.6017727441,0.0396680081,-0.1757553859,0.9995754424
1662,2.0578855652,2.6250663842,3.2693851226,3.9119992596,0.0310332991,0.1730871632,0.9991008946
1643,2.1827721106,2.9185938157,3.6758547585,4.4693450508,0.0380848988,-0.1159994595,0.9997097095
1652,2.2916749121,3.0484285579,3.8619325,4.5934965906,0.0385948449,-0.0246528997,0.9996240656
1644,2.1938829771,3.0431987671,3.9093064813,4.6459020621,0.0411108248,-0.2519016642,0.998745229
1645,2.142637359,2.9332129055,3.6667331635,4.3365539871,0.0365763507,-0.0220872103,0.9986385906
1646,2.3824357742,3.2489332849,4.1465841654,4.9370853762,0.0428079984,-0.1739602088,0.9993455272
1651,2.1530921395,2.8867744874,3.5958448244,4.3902645995,0.0371029386,-0.0827704599,0.9994457513
