kV,HVL
80.8076057434,2.9406071732
80.4595756531,2.8561662261
81.5406303406,2.923974786
79.7849388123,2.9393715615
79.1790161133,3.055777042
78.4800834656,2.8237557258
79.0074386597,2.820156064
80.6085128784,2.9547694501
80.7567596436,3.5983507865
80.8895225525,3.0025486829
79.7182121277,3.0931807601
81.2351875305,3.0978821695
80.4169540405,3.1398795598
80.6473426819,3.1392895751
80.8637809753,3.4766437518
80.5536766052,3.1330558782
81.009262085,3.0453844213
80.409778595,3.0854358158
80.9437789917,3.1162506018
80.657623291,3.2931139747
79.435,3.0254533462
80.05,3.1291223657
80.305,3.141054037
79.3805465698,3.0463103345
79.5760307312,2.8990147121
81.13,2.7790062155
82.285,2.7175503728
82.68,2.8573622792
83.045,3.1389667472
78.8288764954,2.8265919032
80.4904556274,3.1163202324
85.435,3.2374464486
81.785,2.9853924114
81.0787887573,3.1351797621
81.7431221008,3.0799454503
81.03,3.3663850445
80.92,3.1507490098
81.9,3.8306743954
81.6841964722,3.1670910361
79.9662818909,2.8749349741
78.1697006226,3.4901890116
60.1934242249,2.2235941037
80.7548065186,2.9963888223
100.5098953247,3.6808595626
121.7952880859,4.4492108651
60.0458183289,2.1940305963
80.5099105835,2.9681671204
100.1628684998,3.632981535
121.571647644,4.4071765786
60.7076644897,2.2085063809
81.5448951721,2.9568972852
101.5226402283,3.6506543602
122.9032859802,4.3991458917
59.5715942383,2.3005500403
79.6385383606,2.9895603927
100.4018745422,3.7212983228
120.5980834961,4.5140353859
59.3931865692,2.2409860361
79.1913337708,2.9479542561
100.9036216736,3.6709256132
121.7467765808,4.4152729327
58.1159076691,2.186340118
77.6871452332,2.831481412
98.1123008728,3.5347498794
118.5257301331,4.237630969
58.4888420105,2.1282540335
78.9201660156,2.8046236295
119.8769264221,4.1908293502
60.0940799713,2.1137123246
79.9902534485,2.8337395433
104.3285102844,3.6214535316
123.7647705078,4.3227192961
59.7911663055,2.6949352585
80.6090011597,3.6158025401
102.760635376,4.5148068919
121.9701843262,5.3967293853
60.029712677,2.1285973253
80.630317688,2.869265291
103.0507469177,3.6562775547
122.5006065369,4.3270622366
59.466884613,2.2451485246
79.8919563293,3.0155297472
120.474811554,4.4579267303
59.6429901123,2.1940254069
80.5076789856,3.0142184627
101.5818481445,3.6531754849
123.5048027039,4.4825926702
60.1058826447,2.3418393054
80.0785293579,3.151512804
121.6780967712,4.7508556337
60.3234024048,2.3546087197
80.862651825,3.1821944854
122.8429374695,4.677075871
60.2438678741,2.6024899017
80.8288421631,3.4571563445
121.9857978821,5.4204275294
60.3859272003,2.3295953439
80.4232292175,3.1080646689
122.0193481445,4.6353206143
60.5477619171,2.2769880986
81.1301727295,3.0507120948
101.4018440247,3.7317242354
123.205909729,4.4925280377
60.2131710052,2.3258402003
80.9148750305,3.1053558903
101.6795806885,3.9484384772
122.7104530334,4.7465100149
61.0698490143,2.4370849539
80.380317688,3.2311870459
121.9103279114,4.5714544758
60.4467258453,2.3222391242
80.5553970337,3.1283215556
101.7439002991,3.96679091
122.0227203369,4.8223674447
60.0344753265,2.2440781336
80.5996589661,3.059172911
103.014667511,3.8977427838
125.8949508667,4.7612370901
82.560710907,3.1766751638
58.9798336029,2.2993620374
79.0480880737,2.9993209133
82.096622467,3.0544281704
59.734210968,2.295360697
79.4958000183,2.9828123591
119.5233230591,4.4031056132
58.9863204956,2.1625442161
79.3379554749,2.8419891313
117.8884124756,4.0929072816
60.4567966461,2.1601638982
79.9629440308,2.7537413721
117.1046562195,3.8509267554
81.0942459106,2.9177058591
81.3958206177,3.0196072992
60.7202663422,2.2206686499
80.8765716553,2.9649463081
122.5305290222,4.4351718743
80.434753418,2.8039541323
82.8405723572,3.2589006472
83.8845939636,3.005190557
59.7195148468,2.2670214772
80.6750450134,3.0986267103
100.7889289856,3.8610346366
121.9310264587,4.7531742099
59.9724807739,2.1651925476
80.9509315491,3.0275507761
101.6286277771,3.6694275098
122.6120834351,4.5469797804
80.4238548279,3.1876471391
80.893497467,3.1304733398
81.457069397,3.4813994162
60.2982158661,2.2375565805
80.8782920837,3.0870867382
101.0673866272,3.8240844086
122.0422477722,4.6865368314
59.6573867798,2.2233952509
78.9186058044,2.9254700114
99.4608230591,3.6196562889
119.8307914734,4.3519556669
58.0392303467,2.6189954653
77.9443054199,3.4644873882
98.3324661255,4.3366127199
119.1385192871,5.2361935393
58.815,2.1043943558
80.01,2.8170448457
100.275,3.5603739388
119.65,4.3527883909
59.985,2.4745320525
80.15,3.6170007687
100.4,4.635420315
119.8,5.3747968958
60.3514461517,2.3452228922
80.5409965515,3.1253421512
99.8540725708,3.8410732191
120.5780296326,4.6148873746
60.335,2.6124342225
80.455,3.591603796
101.3,4.5196618245
121.4,5.4655027956
60.5973529816,2.3206764004
80.1911697388,3.1062971395
100.8089752197,3.8891982789
120.5537414551,4.6598468263
59.71,2.3625188584
79.985,3.2058027497
100.55,3.9991891949
120.3,4.8961983668
59.65,2.3573095737
80.54,3.2407241617
100,4.0024763958
121,4.95979441
60.7263660431,2.3994501259
81.5257797241,3.1625538185
103.450881958,3.9856948207
123.4998664856,4.8774000286
58.9570522308,2.2683670015
78.9859886169,2.9988750401
101.3145904541,3.7057990706
59,2.1071808123
79.325,2.7799863583
99.545,3.4759291032
119.05,4.268652942
59.36,2.3709839552
79.43,3.1183235468
99.125,3.9027260384
118.4,4.6942067571
59.084230423,2.2750042926
79.075176239,3.0282541301
101.3948173523,3.742621226
58.5941467285,2.1864391676
78.744140625,2.8997603767
101.2284622192,3.6559520669
122.0360336304,4.5352172215
60.2908535004,2.2233339991
80.2634124756,2.9770346255
103.6523780823,3.7753200188
121.8314399719,4.6017727441
58.63,2.0578855652
82.555,2.6250663842
102.5,3.2693851226
118.65,3.9119992596
59.8833084106,2.1827721106
80.4042015076,2.9185938157
103.6784362793,3.6758547585
122.4598884583,4.4693450508
60.5297203064,2.2916749121
80.4791908264,3.0484285579
103.4474754334,3.8619325
121.0005836487,4.5934965906
61.0995502472,2.1938829771
82.3659286499,3.0431987671
106.7537460327,3.9093064813
126.1229934692,4.6459020621
60.8284797668,2.142637359
83.4199752808,2.9332129055
106.6937255859,3.6667331635
123.3125190735,4.3365539871
60.8816604614,2.3824357742
81.5810165405,3.2489332849
105.4636535645,4.1465841654
123.8360900879,4.9370853762
60.9254875183,2.1530921395
81.385635376,2.8867744874
103.6652679443,3.5958448244
121.8891525269,4.3902645995
60.39,2.3880116146
80.79,3.0346443593
101.55,4.0043554458
121.6,4.8466145565
59.655,2.3198260967
81.105,3.1608611713
100.7,3.9310142856
121.75,4.8023022194
59.97,2.6151018199
80.71,3.5210678939
101.15,4.5421463415
121.25,5.4321473444
60.0080623627,2.47825018
79.6131019592,3.3044725378
99.6768341064,4.1574727451
119.8388328552,5.0747545701
59.9889240265,2.1802061928
80.2085647583,2.9081403799
99.0374984741,3.5906144872
119.9268264771,4.35041127
60.1099262238,2.5264619375
79.8276557922,3.3493682245
100.4941635132,4.2039311097
119.8454666138,4.9602220152
60.189081192,2.225963835
80.4088973999,2.9543474389
99.5311508179,3.6280660784
120.4121322632,4.4195874434
59.9889240265,2.1802061928
80.2085647583,2.9081403799
99.0374984741,3.5906144872
119.9268264771,4.35041127
60.3235816956,2.3161606163
80.535320282,3.1378466411
100.5952720642,3.9622634238
120.7782897949,4.7348363227
60.5652980804,2.221096663
80.9590377808,2.9877937805
100.9986038208,3.6850169502
121.86595,4.4586825538
60.0635051727,2.370365027
79.8326530457,3.1430861096
99.9698524475,3.9347475707
119.7169036865,4.6814718808
59.2340927124,2.1893841528
78.401638031,2.8931771906
98.2822761536,3.6136289336
117.935508728,4.4697441052
58.0255756378,2.6716752876
77.5356292725,3.502108228
96.9551124573,4.4203285389
117.294670105,5.1420766637
59.3980712891,2.2804014794
79.1910972595,3.0237975554
98.8566551208,3.7234793863
118.594619751,4.4312707328
59.2698059082,2.2696466057
79.0590591431,2.9772440866
98.5665550232,3.6869446917
118.2284965515,4.3683140216
57.9087810516,2.1884451968
77.1820449829,2.8560349671
96.5014801025,3.5644984557
116.14295578,4.2907443565
